before,after
"""强调一点， 当中国的家庭妇女 是不承认生育贡献的， 这仅仅是 女性才有的问题， 这不是没有保障 是什么？  她们要当， 没问题， 女权努力给她们争取权益， 让她们当得舒心放心， 就算后悔也有退路 ， 而不是跟社会脱节， 你莫不是以为 ， 让她们爱干什么就干什么， 什么都不管  才叫女权？",""" 一点 ，   中国 家庭妇女   承认 生育 贡献 ，     女性 ，   保障   ？     ，   ，   女权 努力 权益 ，   舒心 放心 ，   后悔 退路   ，   社会 脱节 ，   莫不是   ，   爱 干什么 干什么 ，       女权 ？ "
"好像中国古代也是这样的，还有全世界小孩们都要冠上夫姓，很少用母姓，难道你们也要推翻吗？做人就得适应社会，既然这是一贯社会行为，就别拉上歧视了。
",中国 古代 ， 全世界 小孩 冠上 夫姓 ， 用母 姓 ， 推翻 ？ 做人 社会 ， 一贯 社会 ， 别拉上 歧视 。 
"本质上是因为观察视角不同而导致的。第一波女权主义的确是谋求女性平权以至于发展到特权；直到第二波女权才逐渐的形成现在发展女性特长的视角。
",本质 是因为 观察 视角 导致 。 第一波 女权主义 谋求 女性 平权 发展 特权 ； 波 女权 发展 女性 特长 视角 。 
"男权洗脑过的，反洗脑而已。也是不得已的。听不进去就算了。
",男权 洗脑 ， 反 洗脑 。 。 听不进去 。 
"那是妻权婊，自己老婆自己收拾。别泼女权脏水。女权根本不结婚。这锅不背。
",妻权 婊 ， 老婆 收拾 。 别泼 女权 脏水 。 女权 结婚 。 这锅 背 。 
"为什么女权就是极端？难道男权就是不极端吗？
",女权 ？ 男权 ？ 
"有段时间也曾希望自己是男生，可见封建思想残余的荼毒，自己没有独立理性思考。只是要强，并非强势，传统的家庭模式也必将慢慢减少，男主外女主内只是分工，贤妻良母等角色也并非固定不变。也看个人爱好，品性。
",段时间 希望 男生 ， 封建思想 残余 荼毒 ， 独立 理性 思考 。 要强 ， 强势 ， 传统 家庭 模式 慢慢 减少 ， 男主外 女主内 分工 ， 贤妻良母 角色 固定 。 个人爱好 ， 品性 。 
"这件事跟游戏里男女好坏素质有啥关系？这是文字狱红卫兵大妈好吗？有人还说“妈” 这个字，是有女和马组成，女是人马是畜牲，这是侮辱歧视女性，还有很多带女字部首的都要求取消，难不成以后说到男女，也不能有字的先后顺序，必须同时并列说出
",这件 事 游戏 里 男女 好坏 素质 关系 ？ 文字狱 红卫兵 大妈 ？ 有人 “ 妈 ”   字 ， 女 马 ， 女是 人马 畜牲 ， 侮辱 歧视 女性 ， 带女 字 部首 取消 ， 难不成 男女 ， 有字 先后顺序 ， 并列 说出 
"女权婊还是因为懒惰，自私所以要让好的女人全部学她们这样做，想男人宠她们和宠好女人一样。正常的男人都不会找女权婊，她们又不想改变自己所以让好女人变成她们自己这样就达到自己的目的!
",女权 婊 懒惰 ， 自私 女人 学 做 ， 想 男人 宠 宠 女人 。 男人 找 女权 婊 ， 不想 改变 女人 目的 ! 
"我替她回复，你就是个弱智，幼儿园的学生都比你聪明，你爸妈真可怜，生出你个低能儿，这么简单的子字幼儿园都认识了，不是低能儿就是个坏胚子，事情摆到面前还装傻，你这种人是坏透了，或者你不坏就是个弱智，医院都拯救不了你
",回复 ， 弱智 ， 幼儿园 学生 聪明 ， 爸妈 真可怜 ， 生出 低能儿 ， 子 字 幼儿园 ， 低能儿 个坏 胚子 ， 事情 摆 装傻 ， 坏透 ， 不坏 弱智 ， 医院 拯救 
"为自己的权利斗争和为自己的懒找借口，就是女权主义和女犬主义的区别
",权利 斗争 懒 找 借口 ， 女权主义 女犬 主义 区别 
"哇，明白人啊。所谓的女权婊其实心理还是男权为中心，把自己摆在附属品的位置争夺物质，以为要的越多，才是真正的女权。其实真正的女权是独立自尊自爱
",， 明白人 。 女权 婊 心理 男权 中心 ， 摆在 附属品 位置 争夺 物质 ， 越 ， 女权 。 女权 独立 自尊 自爱 
"我就想说，所有信伊斯兰教的这种男人都应该石头砸死！！！
",想 ， 信 伊斯兰教 男人 石头砸 死 ！ ！ ！ 
"""我觉得反父权是反男权的核心，而父权就是仅通过男权婚姻交易达成的。因为男性无法生育。没父权就没重男轻女了，也就没职场歧视、生育歧视等等了，这是问题的根源。只要回归母系一切迎刃而解。维婚派根本没精力帮助女权，光是解决婚育问题她们就忙死了。",""" 反 父权 反 男权 核心 ， 父权 男权 婚姻 交易 达成 。 男性 生育 。 父权 重男轻女 ， 职场 歧视 、 生育 歧视 ， 根源 。 回归 母系 迎刃而解 。 维婚 派 精力 女权 ， 解决 婚育 忙 死 。 "
"""voiceyaya 也很奇怪，我之前关注过她，一些言论让我取关了，她虽然为女性发声，但实际上算是个男权。。她也同时为男性谋福利。为什么不支持在这种情况下为男性支援呢？因为现在还是男权社会，当然是帮女性为优先了。。现在帮男性说话等于踩女性一脚而已。",""" voiceyaya   奇怪 ， 关注 ， 言论 取关 ， 女性 发声 ， 实际上 算是 男权 。 。 男性 谋福利 。 支持 男性 支援 ？ 男权 社会 ， 帮 女性 优先 。 。 帮 男性 说话 等于 踩 女性 一脚 。 "
"因为对于天朝韩剧受众来讲， 很大一部分土肥丑穷的女屌丝都是用韩剧来做梦的！她们看韩剧就是为了代入女主，然后找一个幻想对象！代表就是这种她们做梦都想遇到的多金帅男人 所以这也是为什么她们不理解贤秀身上的坚持和勇敢！这些人根本没得救的 因为本来就是生活中的loser 也别想说服她们 她们听不懂
",天朝 韩剧 受众 ，   很大 一部分 土肥 丑穷 女 屌丝 韩剧 做梦 ！ 韩剧 代入 女主 ， 找 幻想 对象 ！ 代表 做梦 想 金帅 男人   理解 贤秀 勇敢 ！ 得救   本来 生活 中 loser   想 说服   听不懂 
"我和你的见解是一模一样的，除非是明显反婚的已婚者，否则我都不把她们归为女权伙伴。不管她们天天说多少生育危害，说多少谨慎婚育，说多少女人不能当家庭主妇要拼职场，但目的都是为了找个好男人嫁了而已。哪怕，男的之中可能真的有这样的男性，但数量1%都没有，还不如大家一起反婚。
",见解 一模一样 ， 反婚 已婚者 ， 归为 女权 伙伴 。 天天 生育 危害 ， 谨慎 婚育 ， 女人 家庭主妇 拼 职场 ， 目的 找个 男人 嫁 。 ， 男 之中 男性 ， 数量 1% ， 反婚 。 
"这两方不可能是精英，真正的精英不论男女早就懂得他们在争取的是“平权”，而不是男权女权
",两方 精英 ， 精英 男女 早就 懂得 “ 平权 ” ， 男权 女权 
"其实能理解，因为现在很多标榜自己是【女权】的人做了很多并不女权甚至抹黑女权的事，这种标榜者在微博已成趋势，所以很多理智女权，支持平权的人就不愿与之为伍了，称平权主义者也可以理解。
",理解 ， 标榜 【 女权 】 做 女权 抹黑 女权 事 ， 标榜 微博 已成 趋势 ， 理智 女权 ， 支持 平权 不愿 为伍 ， 称 平权主义 理解 。 
"""所以咯，世界美不美好两性平不平等不是这类占着茅坑放干屁的人关心的事。但如果更多的人了解父权社会是怎么一回事，就有更多人参加到跟异性势力间的合作，不去听极端主义放屁了。说到这里突然有一种民智未开的忧心忡忡怎么回事",""" 咯 ， 世界 美不美 两性 平不 平等 这类 占 茅坑 放干屁 关心 事 。 父权 社会 回事 ， 参加 异性 势力 间 合作 ， 不去 听 极端主义 放屁 。 民智未开 忧心忡忡 怎么回事 "
"哈哈哈哈哈哈哈 笑死我了 还有和杨菊花八字不合梗🙊
",哈哈哈哈 哈哈哈   笑 死   杨 菊花 八字 不合 梗 🙊 
"一个motherfucker都能高潮成这样的人才是真正的厌女吧？与恐同即深柜有点异曲同工之处kk nhjj牛气 牛气冲天
",motherfucker 高潮 成 人才 厌女 ？ 恐同 深柜 异曲同工 之处 kk   nhjj 牛气   牛气 冲天 
"南韩戏精可以去死一死了，什么时候才能消停一点，motherfucker这个词到底跟您妈有没有关系，心里可以有点逼数？🙃一方面疯狂发展黑辔文化一方面又不能接受脏话，那您准备用敬语说rap？
",南韩 戏精 死 一死 ， 消停 一点 ， motherfucker 词 妈 有没有 关系 ， 逼数 ？ 🙃 疯狂 发展 黑辔 文化 接受 脏话 ， 敬语 rap ？ 
"因为男的不能“欺负”女的，这样不女权。即使女的是抄袭狗
",男 “ 欺负 ” 女 ， 女权 。 女 抄袭 狗 
"特别理中客，并不模糊。就是男的对女的说话重一点，都不女权。这不是标准的田园女权嘛
",特别 理中客 ， 模糊 。 男 女 说话 重 一点 ， 女权 。 标准 田园 女权 
"她大概觉得她是中国女权最后的代表了。因为这位田园女斗士连雅韵乃扬都踩了，然而雅韵乃扬这个脑残还给她点赞。智商也是非常清奇
",中国 女权 代表 。 这位 田园 女 斗士 连雅韵 乃扬 踩 ， 雅韵 乃扬 脑残 还给 点赞 。 智商 清奇 
"女权还能这么来解释理解哦？！行吧 她们胸大她们说了算 惹不起惹不起
",女权 解释 理解 ？ ！ 行   胸大 说了算   惹不起 惹不起 
"""婊里婊气想找帮手来怼叔呗",""" 婊里 婊气 想 找 帮手 怼 叔 "
"""没什么好忌讳的，戏称伪女权为田园狗而已。女权没那么脆弱",""" 没什么 忌讳 ， 戏称 伪 女权 田园 狗 。 女权 脆弱 "
"""刚仔细看了下那个关心中国女权现状的",""" 仔细 关心 中国 女权 现状 "
"好的，不听女权的。二十出头找个大腹便便的相亲男就嫁过去，一年以后生孩子，男人天天加班不着家，说不定一时兴起嫌你是个黄脸婆还打你两下，你一个人照顾孩子做家务还得上班，好不容易熬到孩子上幼儿园又生二胎，同样的经历再来一次。这样很好对吗？
",， 听 女权 。 二十出头 找个 大腹便便 相亲 男 嫁过去 ， 一年 生 孩子 ， 男人 天天 加班 不着 家 ， 说不定 兴起 嫌 黄脸婆 两下 ， 照顾 孩子 做 家务 上班 ， 好不容易 熬 孩子 幼儿园 生二胎 ， 经历 。 ？ 
"他的意思是女性拿4000，男性能拿到40万，还不如卖身。还是那句话，有一部分男的特别自我感觉良好，只因为一根小腊肠
",女性 4000 ， 男性 拿到 40 ， 卖身 。 那句话 ， 一部分 男 特别 自我感觉 ， 一根 腊肠 
"鸡贼男心理，女性不戳瞎自己下嫁，就会这样那样……
",鸡贼 男 心理 ， 女性 戳 瞎 下嫁 ， … … 
"看到不少女权主义者都是被男人伤害或是拉拉的，这都可以理解，也有某些女生被人鼓吹女人没地位遂她们也成了女权，女权这个东西是个独立意识形态，指导女人行动的标尺，但这是中国啊，有上有下有左有右，提高自己意识就行了，最好别整成“女权”口号——人都是平等的。
",女权主义者 男人 伤害 拉拉 ， 理解 ， 女生 鼓吹 女人 地位 遂 成 女权 ， 女权 独立 意识形态 ， 指导 女人 标尺 ， 中国 ， 左 右 ， 提高 意识 就行了 ， 整成 “ 女权 ” 口号 — — 平等 。 
"写文章写的道理错误，逻辑有问题，但是难道不是微博女权的现状？之前我感觉，微博上的大多数女权不是真女权，打着女权的幌子泄私愤，把女权和消费主意划等号……这是真女权？
",写文章 写 道理 错误 ， 逻辑 ， 微博 女权 现状 ？ 感觉 ， 微博上 女权 真 女权 ， 打着 女权 幌子 泄私愤 ， 女权 消费 主意 划等号 … … 真 女权 ？ 
"那你去批评她们啊。你说她们是投机者、自私鬼、冷漠又煽动的人。既然你也承认她们本来就不是女权，女权主义者需要对她们负什么责任？需要对他人证明什么清白？
",批评 。 投机者 、 自私 鬼 、 冷漠 煽动 。 承认 本来 女权 ， 女权主义者 负 责任 ？ 证明 清白 ？ 
"""@熊小莹1139爱敦贺莲  你微博到大雪深雾老师有关国内未来几年女性社会地位的牌阵，结果不是很乐观，不乐观的原因除了你提到的，还跟错误运用女权有关，女权不是自己需要的时候就拿出来用一下，不需要的时候就视而不见。",""" @ 熊小莹 1139 爱敦 贺莲     微博到 大雪 深雾 老师 国内 未来 几年 女性 社会 地位 牌阵 ， 乐观 ， 乐观 原因 提到 ， 错误 女权 ， 女权 ， 视而不见 。 "
"女权主张的的不是女性特权是男女平权好么！
",女权 女性 特权 男女 平权 ！ 
"""也就是解题不看条件？我把条件说的明明白白，你要是这么管中窥豹，抓出一句话来黑我，我只能说你和那些煽动的无良媒体有什么区别。真的不说了，本来我以为女权能是社会冲突很好的解药，现在看到你和上一位骂我脑残的，感觉中国的女权被黑真的不是空穴来风。只能希望女权别往你们设计的方向走。",""" 解题 不看 条件 ？ 条件 明明白白 ， 管中窥豹 ， 抓 话 黑 ， 煽动 无良 媒体 区别 。 ， 本来 女权 社会 冲突 解药 ， 一位 骂 脑残 ， 感觉 中国 女权 黑 空穴来风 。 希望 女权 别往 设计 方向 走 。 "
"他自己造了个靶子扣到女权头上，然后对着这个靶子开枪，女权现在说他乱树靶子不行么？你都知道是假女权了，为啥真女权撇清关系的时候，你反而怪真女权？
",造 靶子 扣 女权 头上 ， 靶子 开枪 ， 女权 乱 树 靶子 不行 ？ 假 女权 ， 为啥 真 女权 撇清 关系 ， 怪真 女权 ？ 
"他们也不尊重家庭主妇的情绪价值和无法量化的经济价值。最主要的是他们量化女性颜值，女性说自己颜值分数的时候，他们给她降低分数，女性说她女权的时候，甚至有的女性举着马克思说她是西方思想的毒瘤，女性说平权的时候男性说凭啥房子分你一半，总之女性只要谈权利就是不对就是该天杀去，qnmd
",尊重 家庭主妇 情绪 价值 量化 经济 价值 。 量化 女性 颜值 ， 女性 颜值 分数 ， 降低 分数 ， 女性 女权 ， 女性 举着 马克思 西方 思想 毒瘤 ， 女性 平权 男性 房子 分 一半 ， 女性 谈 权利 该天 杀 ， qnmd 
